,driver_standings)_id,race_id,driver_id,points,position,position_text,wins
1134,1222,72,35,0.0,17,17,0
1135,1223,72,39,0.0,14,14,0
1136,1224,72,33,0.0,15,15,0
1137,1225,72,40,0.0,18,18,0
1138,1226,72,2,6.0,7,7,0
1139,1227,72,30,2.0,11,11,0
1140,1228,72,27,0.0,16,16,0
1141,3805,73,37,4.0,11,11,0
1142,3804,73,27,0.0,19,19,0
1143,3803,73,30,2.0,14,14,0
1144,3802,73,2,6.0,10,10,0
1145,3801,73,40,0.0,18,18,0
1146,3800,73,33,0.0,15,15,0
1147,3799,73,39,0.0,17,17,0
1148,3798,73,35,0.0,16,16,0
1149,3797,73,23,9.0,4,4,0
1150,3796,73,13,2.0,13,13,0
1151,3795,73,15,16.0,2,2,0
1152,3794,73,8,7.0,8,8,0
1153,3793,73,32,3.0,12,12,0
1154,3792,73,31,8.0,7,7,0
1155,3791,73,17,7.0,9,9,0
1156,3790,73,14,9.0,5,5,0
1157,3789,73,4,26.0,1,1,2
1158,3788,73,22,8.0,6,6,0
1159,3787,73,21,10.0,3,3,1
1160,3826,74,24,1.0,17,17,0
1161,3825,74,25,6.0,12,12,0
1162,3824,74,37,4.0,14,14,0
1163,3823,74,27,0.0,21,21,0
1164,3822,74,30,10.0,4,4,0
1165,3821,74,2,9.0,5,5,0
1166,3820,74,40,0.0,20,20,0
1167,3819,74,33,0.0,18,18,0
1168,3818,74,39,0.0,19,19,0
1169,3817,74,35,5.0,13,13,0
1170,3816,74,23,9.0,6,6,0
1171,3815,74,13,2.0,16,16,0
1172,3813,74,8,7.0,11,11,0
1173,3812,74,32,3.0,15,15,0
1174,3811,74,31,8.0,10,10,0
1175,3810,74,17,9.0,8,8,0
1176,3808,74,4,36.0,1,1,3
1177,3807,74,22,8.0,9,9,0
1178,64338,75,19,0.0,24,24,0
1179,64337,75,27,0.0,21,21,0
1180,64336,75,2,9.0,10,10,0
1181,64335,75,30,10.0,7,7,0
1182,64334,75,40,0.0,20,20,0
1183,64333,75,33,0.0,18,18,0
1184,64332,75,39,0.0,19,19,0
1185,64331,75,11,0.0,23,23,0
1186,64330,75,35,5.0,13,13,0
1187,64329,75,23,14.0,5,5,0
1188,64328,75,18,0.0,22,22,0
1189,64327,75,13,2.0,16,16,0
1190,64326,75,15,26.0,2,2,0
1191,64325,75,8,17.0,3,3,1
1192,64324,75,32,3.0,15,15,0
1193,64323,75,31,10.0,8,8,0
1194,64322,75,17,12.0,6,6,0
1195,64321,75,14,10.0,9,9,0
1196,64320,75,4,44.0,1,1,3
1197,64319,75,22,8.0,11,11,0
1198,64318,75,21,14.0,4,4,1
1199,1290,76,21,14.0,7,7,1
1200,1291,76,22,9.0,11,11,0
1201,1292,76,4,49.0,1,1,3
1202,1293,76,14,10.0,10,10,0
1203,1294,76,17,18.0,4,4,0
1204,1295,76,31,14.0,8,8,0
1205,1296,76,32,3.0,15,15,0
